Participant,isSpeed,isCued,jitter,jitterLevel,cueDeflections,cueOrientation,targetOrientation,response,deviation,absoluteDeviation,RT,points
100,0,0,15,1,819,-999.0,0.64388,0.49959,-0.14428,0.14428,0.65925,139
100,0,0,45,3,819,-999.0,2.5065,2.7041,0.19757,0.19757,0.91567,129
100,0,0,30,2,819,-999.0,2.0353,1.8015,-0.23374,0.23374,0.67345,123
100,0,0,15,1,819,-999.0,2.1901,2.1819,-0.0081501,0.0081501,0.61993,186
100,0,0,15,1,819,-999.0,0.80771,0.91112,0.1034,0.1034,2.33,149
100,0,0,45,3,819,-999.0,0.86433,0.75562,-0.10871,0.10871,1.2509,147
100,0,0,15,1,819,-999.0,0.93951,1.0856,0.14606,0.14606,0.95676,139
100,0,0,30,2,819,-999.0,1.8801,1.9049,0.024799,0.024799,0.8957,175
100,0,0,45,3,819,-999.0,1.6292,1.8142,0.18503,0.18503,0.88417,131
100,0,0,45,3,819,-999.0,0.46974,0.80798,0.33824,0.33824,0.83532,107
100,0,0,15,1,819,-999.0,3.0499,2.8736,-0.17626,0.17626,0.75589,133
100,0,0,45,3,819,-999.0,2.5366,2.0949,-0.44167,0.44167,1.2926,94
100,0,0,30,2,819,-999.0,1.4084,1.3611,-0.047323,0.047323,1.0964,165
100,0,0,45,3,819,-999.0,2.3612,1.8422,-0.51901,0.51901,1.0804,85
100,0,0,45,3,819,-999.0,0.85405,0.60029,-0.25376,0.25376,1.3086,120
100,0,0,45,3,819,-999.0,2.9546,1.9639,-0.99074,0.99074,0.84205,41
100,0,0,15,1,819,-999.0,1.1555,1.1797,0.02414,0.02414,0.71824,175
100,0,0,15,1,819,-999.0,2.2899,2.347,0.057169,0.057169,0.74261,162
100,0,0,30,2,819,-999.0,3.0699,3.0668,-0.0031175,0.0031175,1.0792,191
100,0,0,15,1,819,-999.0,0.1757,0.19864,0.022942,0.022942,1.1661,176
100,0,0,30,2,819,-999.0,1.6998,1.9616,0.26175,0.26175,0.84729,118
100,0,0,30,2,819,-999.0,2.426,2.5459,0.11999,0.11999,0.84522,145
100,0,0,30,2,819,-999.0,1.8612,2.1828,0.32164,0.32164,0.79006,109
100,0,0,30,2,819,-999.0,3.0809,0.14674,0.20741,0.20741,1.1186,-193
100,0,0,45,3,819,-999.0,1.9076,1.9494,0.04186,0.04186,1.2284,167
100,0,0,30,2,819,-999.0,1.2222,1.0853,-0.13699,0.13699,1.1803,141
100,0,0,30,2,819,-999.0,3.0051,2.954,-0.051165,0.051165,0.87483,164
100,1,0,45,3,819,-999.0,1.6144,1.7706,0.15615,0.15615,1.1183,68
100,1,0,15,1,819,-999.0,1.0672,0.78731,-0.27989,0.27989,0.50882,158
100,1,0,30,2,819,-999.0,1.7986,1.9857,0.1871,0.1871,0.49423,165
100,1,0,45,3,819,-999.0,3.1022,0.009456,0.048804,0.048804,0.54599,1
100,1,0,15,1,819,-999.0,2.8641,2.9487,0.084662,0.084662,0.55375,177
100,1,0,45,3,819,-999.0,0.56596,1.3403,0.77431,0.77431,0.62615,130
100,1,0,15,1,819,-999.0,2.0227,2.0534,0.030679,0.030679,0.49406,186
100,1,0,45,3,819,-999.0,0.75874,0.60611,-0.15263,0.15263,0.55783,169
100,1,0,30,2,819,-999.0,0.25704,0.14708,-0.10996,0.10996,0.5678,174
100,1,0,45,3,819,-999.0,2.64,1.7177,-0.92235,0.92235,0.64245,123
100,1,0,30,2,819,-999.0,0.7144,0.88734,0.17294,0.17294,0.5331,167
100,1,0,15,1,819,-999.0,2.7065,2.4669,-0.23965,0.23965,0.51398,161
100,1,0,15,1,819,-999.0,1.4256,1.1792,-0.24641,0.24641,0.56502,160
100,1,0,45,3,819,-999.0,2.4593,2.2832,-0.17619,0.17619,0.57603,167
100,1,0,15,1,819,-999.0,0.98574,0.56866,-0.41709,0.41709,0.53066,148
100,1,0,15,1,819,-999.0,2.6078,2.5206,-0.087199,0.087199,0.52107,176
100,1,0,45,3,819,-999.0,1.9297,0.79721,-1.1325,1.1325,0.5928,115
100,1,0,30,2,819,-999.0,0.82445,0.79441,-0.030041,0.030041,0.60827,186
100,1,0,30,2,819,-999.0,2.0847,2.1648,0.080093,0.080093,0.63496,177
100,1,0,30,2,819,-999.0,0.5149,0.72141,0.20651,0.20651,0.71624,164
100,1,0,15,1,819,-999.0,0.54917,0.56087,0.011702,0.011702,0.54155,191
100,1,0,15,1,819,-999.0,2.1846,2.1122,-0.072339,0.072339,0.5138,179
100,1,0,45,3,819,-999.0,2.5913,2.132,-0.4593,0.4593,0.54741,146
100,1,0,45,3,819,-999.0,2.623,0.99301,1.5116,1.5116,0.69941,26
100,1,0,15,1,819,-999.0,1.9508,1.8846,-0.066193,0.066193,0.68555,179
100,1,0,30,2,819,-999.0,0.24421,0.52317,0.27896,0.27896,0.7345,158
100,1,0,30,2,819,-999.0,1.3649,1.8975,0.53261,0.53261,0.67543,142
100,1,0,30,2,819,-999.0,1.2124,0.97269,-0.23972,0.23972,0.55288,161
100,1,0,45,3,819,-999.0,0.42054,2.8214,-0.74072,0.74072,0.54899,131
100,1,0,30,2,819,-999.0,3.1081,0.16739,0.20089,0.20089,0.55694,3
100,0,0,30,2,819,-999.0,2.2623,1.9913,-0.27101,0.27101,0.65183,117
100,0,0,15,1,819,-999.0,2.7234,2.4969,-0.22647,0.22647,0.68628,124
100,0,0,15,1,819,-999.0,0.056935,0.099669,0.042734,0.042734,0.80525,167
100,0,0,15,1,819,-999.0,1.1126,1.249,0.13642,0.13642,0.78217,141
100,0,0,45,3,819,-999.0,2.3134,2.4847,0.17134,0.17134,0.75224,134
100,0,0,45,3,819,-999.0,2.8474,2.5402,-0.30717,0.30717,0.94644,112
100,0,0,45,3,819,-999.0,0.51674,1.0138,0.49711,0.49711,1.1129,87
100,0,0,15,1,819,-999.0,2.4035,2.5264,0.12286,0.12286,0.74406,144
100,0,0,45,3,819,-999.0,0.13892,0.59817,0.45924,0.45924,1.2966,92
100,0,0,15,1,819,-999.0,2.8798,2.997,0.11715,0.11715,2.499,145
100,0,0,15,1,819,-999.0,0.15787,0.22294,0.065069,0.065069,0.72515,159
100,0,0,45,3,819,-999.0,0.53791,2.2018,-1.4777,1.4777,1.0725,6
100,0,0,30,2,819,-999.0,1.1138,1.3992,0.28534,0.28534,0.75221,115
100,0,0,30,2,819,-999.0,1.669,1.9369,0.26784,0.26784,0.75538,117
100,0,0,45,3,819,-999.0,2.7055,2.5351,-0.17043,0.17043,0.75981,134
100,0,0,30,2,819,-999.0,1.0724,1.0602,-0.012221,0.012221,0.73794,182
100,0,0,15,1,819,-999.0,2.1977,2.3701,0.17242,0.17242,0.71869,134
100,0,0,30,2,819,-999.0,2.5849,2.6794,0.094467,0.094467,0.70503,151
100,0,0,30,2,819,-999.0,2.8828,2.975,0.09211,0.09211,0.74686,152
100,0,0,45,3,819,-999.0,0.81363,1.1688,0.35515,0.35515,0.80741,105
100,0,0,15,1,819,-999.0,2.235,2.0871,-0.14794,0.14794,0.65018,139
100,0,0,15,1,819,-999.0,0.15234,0.11463,-0.037712,0.037712,0.71816,169
100,0,0,15,1,819,-999.0,0.47071,0.42498,-0.04573,0.04573,0.78421,166
100,0,0,45,3,819,-999.0,0.91206,1.6672,0.7551,0.7551,0.98081,61
100,0,0,30,2,819,-999.0,0.58424,0.76605,0.1818,0.1818,0.8244,132
100,0,0,30,2,819,-999.0,1.2546,1.202,-0.052596,0.052596,0.98068,163
100,0,0,30,2,819,-999.0,2.9285,2.8464,-0.082125,0.082125,1.0454,154
100,0,0,45,3,819,-999.0,1.0235,0.82376,-0.1997,0.1997,1.4945,129
100,0,0,45,3,819,-999.0,1.7378,1.2273,-0.51045,0.51045,0.76525,86
100,0,0,30,2,819,-999.0,2.3089,2.141,-0.16785,0.16785,0.71442,135
100,1,0,30,2,819,-999.0,2.7992,2.5955,-0.20366,0.20366,0.58965,164
100,1,0,15,1,819,-999.0,1.4567,1.4387,-0.017976,0.017976,0.59683,189
100,1,0,15,1,819,-999.0,0.66994,0.65847,-0.011466,0.011466,0.55987,191
100,1,0,15,1,819,-999.0,0.8011,1.1868,0.38571,0.38571,0.57397,150
100,1,0,30,2,819,-999.0,1.6205,1.6873,0.066807,0.066807,0.62402,179
100,1,0,15,1,819,-999.0,1.8588,1.9427,0.083961,0.083961,0.61168,177
100,1,0,15,1,819,-999.0,0.1936,0.25017,0.056565,0.056565,0.58488,181
100,1,0,15,1,819,-999.0,1.5435,1.4438,-0.099665,0.099665,0.69403,175
100,1,0,45,3,819,-999.0,1.9109,2.6064,0.69548,0.69548,0.57397,133
100,1,0,45,3,819,-999.0,0.64178,0.56673,-0.07505,0.07505,0.73303,178
100,1,0,45,3,819,-999.0,2.1346,1.7055,-0.42916,0.42916,0.55707,148
100,1,0,30,2,819,-999.0,1.7478,1.8761,0.1283,0.1283,0.62686,171
100,1,0,30,2,819,-999.0,1.2685,1.3935,0.12505,0.12505,0.64706,172
100,1,0,30,2,819,-999.0,0.39549,0.68595,0.29046,0.29046,0.57815,157
100,1,0,45,3,819,-999.0,2.7595,2.1897,-0.56982,0.56982,0.82132,140
100,1,0,30,2,819,-999.0,2.3331,2.1625,-0.17063,0.17063,0.65297,167
100,1,0,45,3,819,-999.0,1.9123,2.5161,0.60383,0.60383,0.58697,138
100,1,0,15,1,819,-999.0,2.3766,2.3122,-0.064389,0.064389,0.60028,180
100,1,0,45,3,819,-999.0,2.5374,2.4027,-0.13463,0.13463,0.63893,171
100,1,0,30,2,819,-999.0,1.8092,1.9167,0.10748,0.10748,0.70498,174
